0 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
1 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
2 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
3 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
4 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
5 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
6 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
7 -> 2832.75152567941 : Auxonne, Ahuy, Dijon, Vix, Saulieu, Bligny-sur, Normier, Semur-en-A, Vitteaux, Blaisy-Bas, Saussy, Saint-Juli, Baigneux-l, Nan-sous-T, Marsannay-, Clamerey, Pommard, Pontailler, Is-sur-Til, Brazey-en-, Montbard, Saulon-la-, Seurre, Leuglay, Laignes, Saint-Apol, Losne, Chenove, Marsannay-, Genlis, Epagny, Fontangy, Beaune, Savigny-le, Vougeot, Marcigny-s, Arcenant, Chamboeuf, Pouilly-en, Aisy-sous-, Montigny-S, Vic-sous-T, Arnay-le-D, Dompierre-, Alise-Sain, Santenay, Curtil-Sai, Salives, Roilly, Arc-sur-Ti, Aisey-sur-, T, Selongey, Précy-sous, Mirebeau-s, Meursault, Nuits-Sain, Longvic, Brianny, Bierre-les, Braux, Noidan, Aloxe-Cort, Prenois, Fleurey-su, Quetigny
8 -> 2790.60897737652 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Dompierre-, Chenove, Longvic, Clamerey, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Baigneux-l, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Fleurey-su, Genlis, Alise-Sain, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Bligny-sur, Meursault, Marcigny-s, Laignes, Vougeot, T, Montigny-S
9 -> 2790.60897737652 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Dompierre-, Chenove, Longvic, Clamerey, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Baigneux-l, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Fleurey-su, Genlis, Alise-Sain, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Bligny-sur, Meursault, Marcigny-s, Laignes, Vougeot, T, Montigny-S
10 -> 2790.60897737652 : Arnay-le-D, Braux, Aisy-sous-, Nuits-Sain, Brazey-en-, Epagny, Selongey, Marsannay-, Marsannay-, Fontangy, Vix, Vic-sous-T, Montbard, Saint-Apol, Seurre, Auxonne, Dompierre-, Chenove, Longvic, Clamerey, Aloxe-Cort, Dijon, Mirebeau-s, Pontailler, Saussy, Quetigny, Prenois, Pommard, Précy-sous, Baigneux-l, Saulieu, Aisey-sur-, Arc-sur-Ti, Nan-sous-T, Roilly, Leuglay, Saint-Juli, Is-sur-Til, Ahuy, Saulon-la-, Santenay, Curtil-Sai, Arcenant, Losne, Vitteaux, Normier, Fleurey-su, Genlis, Alise-Sain, Chamboeuf, Pouilly-en, Semur-en-A, Bierre-les, Brianny, Salives, Noidan, Savigny-le, Blaisy-Bas, Beaune, Bligny-sur, Meursault, Marcigny-s, Laignes, Vougeot, T, Montigny-S
