0 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
1 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
2 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
3 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
4 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
5 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
6 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
7 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
8 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
9 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
10 -> 2565,49186105983 : Saint-Juli, Is-sur-Til, Quetigny, Mirebeau-s, Marsannay-, Chenove, Arcenant, Pommard, Saulieu, Vougeot, Aloxe-Cort, Longvic, Selongey, Baigneux-l, Beaune, Roilly, Arnay-le-D, Pouilly-en, Clamerey, Précy-sous, Semur-en-A, Fontangy, Montbard, Aisey-sur-, Bierre-les, Aisy-sous-, Saussy, Saint-Apol, Dijon, Laignes, Prenois, Dompierre-, Noidan, Salives, Leuglay, Savigny-le, Curtil-Sai, Pontailler, Marsannay-, Genlis, Ahuy, Vix, Losne, Meursault, Nuits-Sain, Normier, Vic-sous-T, Nan-sous-T, Arc-sur-Ti, Montigny-S, Brianny, Chamboeuf, T, Alise-Sain, Seurre, Bligny-sur, Vitteaux, Epagny, Santenay, Fleurey-su, Blaisy-Bas, Saulon-la-, Brazey-en-, Marcigny-s, Braux, Auxonne
